title,summary,status,description,brands,slug,thumbnail url,categories,tags,attribute names,attribute values name,attribute values value,variation names,variation types,variation status,regular prices,sale prices,skus,stock quantities,stock limits,variation attribute names,variation attribute values,managed stocks,tax classes,thumbnail urls,width values,width units,height values,height units,weight values,weight units,length values,length units,downloads,meta gallery urls,meta gallery titles,meta templates,show reviews,review text mandatory,hide from shop,noindex
Sports Shoe For Men,High-performance sports shoes for active lifestyle,publish,"Stay active and comfortable with these high-performance sports shoes. Designed with breathable materials, cushioned soles, and durable traction, they provide excellent support and comfort for running, training, or everyday wear. Perfect for style and performance on any surface.",ActiveStride,sports-shoe-for-men,https://cdn.easycommerce.dev/images/samples/green-shoe.jpg,Footwear,"sports,comfortable","Color, Size",,,basic,physical,"in_stock, in_stock",23,11,SPORTSSHOWFORMENBASIC,"54, 60","3, 2",,,"1, 1",,https://cdn.easycommerce.dev/images/samples/ping-shoe.jpg,"43, 55","cm, cm","34, 55","cm, cm","34, 35","cm, cm","43, 55","cm, cm",,"https://cdn.easycommerce.dev/images/samples/green-shoe.jpg, https://cdn.easycommerce.dev/images/samples/orange-shoe.jpg","Test3, Sports Shoe For Men",template-1,1,,,
Classic Cotton T-Shirt,Comfortable everyday cotton t-shirt,publish,"Experience ultimate comfort with our classic cotton t-shirt. Made from 100% premium cotton, this versatile piece features a comfortable fit and is perfect for casual wear. Available in multiple colors and sizes to suit your style.",CottonWear,classic-cotton-t-shirt,https://cdn.easycommerce.dev/images/samples/classic-cotton-t-shirt-1.jpg,Clothing,"Casual,Cotton","Color,Size","White|Gray,S|XL","#FFFFFF|#808080,s|xl","White/S, White/L, Gray/S, Gray/L","physical, physical, physical, physical","in_stock, in_stock, in_stock","15, 18, 20, 25","12, 15, 17, 20","TSHIRTWHITES, TSHIRTWHITEL, TSHIRTGRAYS, TSHIRTGRAYL","25, 30, 20","5, 5, 5","Color, Size","White,Gray","1, 1, 1",,"https://cdn.easycommerce.dev/images/samples/classic-cotton-t-shirt-1.jpg, https://cdn.easycommerce.dev/images/samples/classic-cotton-t-shirt-2.jpg, https://cdn.easycommerce.dev/images/samples/classic-cotton-t-shirt-1.jpg,https://cdn.easycommerce.dev/images/samples/classic-cotton-t-shirt-2.jpg","40, 42, 44","cm, cm, cm","28, 30, 32","cm, cm, cm","0.2, 0.2, 0.2","cm, cm, cm ","15, 17, 19","cm, cm, cm",,"https://cdn.easycommerce.dev/images/samples/classic-cotton-t-shirt-2.jpg, https://cdn.easycommerce.dev/images/samples/classic-cotton-t-shirt-1.jpg","Navy Alternative, Classic T-Shirt",template-1,1,,,
Premium Hoodie,Warm and stylish hoodie for all seasons,publish,"Stay warm and stylish with our premium hoodie. Made from high-quality fleece material, this hoodie offers comfort and durability. Perfect for casual wear or layering.",ComfortWear,premium-hoodie,https://cdn.easycommerce.dev/images/samples/premium-hoodie-1.jpg,Clothing,"warm,casual","Color, Size","Black|Pink,M| XXL","#000000|#FFC0CB,m|xxl","Black/M, Black/XXL, Pink/M, Pink/XXL","physical, physical, physical, physical","in_stock, in_stock, in_stock","45, 50, 55, 30","35, 40, 45, 25","HOODIE-BLACK-M, HOODIE-PINK-L, HOODIE-PINK-XL","30, 25, 20","5, 5, 5","Color, Size","Black,Pink","1, 1, 1",,"https://cdn.easycommerce.dev/images/samples/premium-hoodie-1.jpg, https://cdn.easycommerce.dev/images/samples/premium-hoodie-2.jpg, https://cdn.easycommerce.dev/images/samples/premium-hoodie-3.jpg","50, 52, 54","cm, cm, cm","35, 37, 39","cm, cm, cm","0.8, 0.8, 0.8","cm, cm, cm ","20, 22, 24","cm, cm, cm",,"https://cdn.easycommerce.dev/images/samples/premium-hoodie-3.jpg, https://cdn.easycommerce.dev/images/samples/premium-hoodie-2.jpg","Alternative Colors, Premium Hoodie ",template-1,1,,,
Bags for Women,Elegant and spacious ladies bag,publish,"Elevate your style with this elegant ladies bag, crafted from premium materials for a chic and durable finish. Featuring spacious compartments and a stylish design, it's perfect for both casual outings and special occasions. A perfect blend of fashion and functionality.",UrbanVogue,bags-for-women,https://cdn.easycommerce.dev/images/samples/black-bag.jpg,Fashion Accessories,"sports,new-arrival","Color, Size",,,basic,physical,in_stock,55,44,BAGSFORWOMENBASIC,76,22,,,1,,https://cdn.easycommerce.dev/images/samples/green-shoe.jpg,43,cm,34,cm,34,cm,43,cm,,"https://cdn.easycommerce.dev/images/samples/pink-bag.jpg, https://cdn.easycommerce.dev/images/samples/black-bag.jpg","test, Bags for Women",template-1,1,,,
Casual Denim Jacket,Stylish and durable denim jacket for everyday wear,publish,"A timeless classic, this casual denim jacket is crafted from high-quality denim for durability and comfort. Featuring a regular fit and classic metal buttons, it's a versatile layering piece perfect for cool evenings or casual outings.",DenimCo,casual-denim-jacket,https://cdn.easycommerce.dev/images/samples/casual-denim-jacket-1.jpg,Clothing,"denim,jacket,casual","Color,Size","Light|Blue,M|L","#ADD8E6| #00008B,m|l","Light/M, Light/L, Blue/M, Blue/L","physical, physical, physical, physical","in_stock, in_stock, in_stock, in_stock","65, 65, 70, 70","55, 55, 60, 60","JACKET-LIGHT-M, JACKET-LIGHT-L, JACKET-BLUE-M, JACKET-BLUE-L","40, 35, 45, 30","5, 5, 5, 5","Color, Size","Light Blue,Dark Blue","1, 1, 1, 1",,"https://cdn.easycommerce.dev/images/samples/casual-denim-jacket-1.jpg, https://cdn.easycommerce.dev/images/samples/casual-denim-jacket-2.jpg, https://cdn.easycommerce.dev/images/samples/casual-denim-jacket-3.jpg","55, 57, 59, 61","cm, cm, cm, cm","65, 67, 69, 71","cm, cm, cm, cm","1.2, 1.2, 1.2, 1.2","kg, kg, kg, kg","58, 60, 62, 64","cm, cm, cm, cm",,"https://cdn.easycommerce.dev/images/samples/casual-denim-jacket-3.jpg, https://cdn.easycommerce.dev/images/samples/casual-denim-jacket-1.jpg","Back View, Casual Denim Jacket",template-1,1,,,
Stylish Sunglasses,UV protection sunglasses with modern design,publish,"Elevate your style with these fashionable sunglasses featuring 100% UV protection lenses. With a lightweight and durable frame, they offer all-day comfort and a sleek, modern look perfect for any outdoor activity.",VisionWear,stylish-sunglasses,https://cdn.easycommerce.dev/images/samples/sunglass-1.jpg,Fashion Accessories,"sunglasses,uv-protection,modern","Color,Size","Black|Brown,Standard|Large","#000000|#8B4513,standard|large","Black/Standard, Black/Large, Brown/Standard, Brown/Large","physical, physical, physical, physical","in_stock, in_stock, in_stock, in_stock","45, 45, 50, 50","35, 35, 40, 40","SUNGLASS-BLACK-S, SUNGLASS-BLACK-L, SUNGLASS-BROWN-S, SUNGLASS-BROWN-L","25, 20, 30, 15","5, 5, 5, 5","Color, Size","Black,Brown","1, 1, 1, 1",,"hhttps://cdn.easycommerce.dev/images/samples/sunglass-1.jpg, https://cdn.easycommerce.dev/images/samples/sunglass-2.jpg, https://cdn.easycommerce.dev/images/samples/sunglass-3.jpg","15, 16, 17, 18","cm, cm, cm, cm","6, 6.5, 7, 7.5","cm, cm, cm, cm","0.1, 0.1, 0.1, 0.1","kg, kg, kg, kg","14, 15, 16, 17","cm, cm, cm, cm",,"https://cdn.easycommerce.dev/images/samples/sunglass-3.jpg, https://cdn.easycommerce.dev/images/samples/sunglass-2.jpg","Side View, Sunglasses Case",template-1,1,,,
Leather Wallet for Men,Sleek and durable genuine leather wallet for men,publish,"Crafted from premium genuine leather, this sleek wallet offers both style and functionality. Featuring multiple card slots, a transparent ID window, and a secure bill compartment, it's the perfect everyday accessory to keep your essentials organized and protected.",UrbanGear,leather-wallet-for-men,https://cdn.easycommerce.dev/images/samples/leather-wallet-for-men-1.jpg,Fashion Accessories,"wallet,leather,men","Color, Size",,,basic,physical,in_stock,45,35,WALLETFORMENBASIC,80,5,,,1,,https://cdn.easycommerce.dev/images/samples/leather-wallet-for-men-1.jpg,12,cm,9,cm,2,cm,12,cm,,"https://cdn.easycommerce.dev/images/samples/leather-wallet-for-men-1.jpg, https://cdn.easycommerce.dev/images/samples/leather-wallet-for-men-2.jpg","Interior View, Leather Wallet",template-1,1,,,
Waterproof Travel Backpack,Durable waterproof backpack for travel and outdoor activities,publish,"Designed for the modern traveler, this waterproof backpack features multiple compartments, laptop sleeve, and ergonomic straps for maximum comfort. Made from high-quality waterproof materials, it keeps your belongings safe and dry in all weather conditions.",TravelGear,waterproof-travel-backpack,https://cdn.easycommerce.dev/images/samples/waterproof-travel-backpack-1.jpg,Bags,"travel,waterproof,outdoor","Color, Size",,,basic,physical,in_stock,89,75,BACKPACKBASIC,45,15,,,1,,https://cdn.easycommerce.dev/images/samples/waterproof-travel-backpack-1.jpg,32,cm,48,cm,18,cm,32,cm,,"https://cdn.easycommerce.dev/images/samples/waterproof-travel-backpack-2.jpg, https://cdn.easycommerce.dev/images/samples/waterproof-travel-backpack-3.jpg","Interior View, Waterproof Travel Backpack",template-1,1,,,
Comfortable Slip-On Sandals,Easy-to-wear sandals with cushioned comfort,publish,"Experience ultimate comfort with these slip-on sandals featuring memory foam insoles and flexible soles. Perfect for casual wear, beach days, or quick errands, they provide excellent support and easy on-off convenience.",FootComfort,comfortable-slip-on-sandals,https://cdn.easycommerce.dev/images/samples/comfortable-slip-on-sandals-1.jpg,Footwear,"sandals,comfortable,casual","Color,Size","Beige|Navy,7|8","#F5F5DC|#000080,7|8","Beige/7, Beige/8, Navy/7, Navy/8","physical, physical, physical, physical","in_stock, in_stock, in_stock, in_stock","35, 35, 35, 38","28, 28, 28, 32","SANDAL-BEIGE-7, SANDAL-BEIGE-8, SANDAL-NAVY-7, SANDAL-NAVY-8","25, 30, 20, 22","5, 5, 5, 5","Color, Size","Beige,Navy","1, 1, 1, 1",,"https://cdn.easycommerce.dev/images/samples/comfortable-slip-on-sandals-1.jpg, https://cdn.easycommerce.dev/images/samples/comfortable-slip-on-sandals-3.jpg, https://cdn.easycommerce.dev/images/samples/comfortable-slip-on-sandals-2.jpg","24, 25, 26, 24","cm, cm, cm, cm","8, 8.5, 9, 8","cm, cm, cm, cm","0.3, 0.3, 0.3, 0.3","kg, kg, kg, kg","16, 17, 18, 16","cm, cm, cm, cm",,"https://cdn.easycommerce.dev/images/samples/comfortable-slip-on-sandals-3.jpg, https://cdn.easycommerce.dev/images/samples/comfortable-slip-on-sandals-2.jpg","Side View, Comfortable Slip-On Sandals",template-1,1,,,
Breathable Mesh Cap,Lightweight and breathable cap for outdoor activities,publish,"Stay cool and protected with this breathable mesh cap featuring moisture-wicking technology and adjustable strap. Perfect for sports, hiking, or everyday casual wear, it offers superior ventilation and sun protection with a classic design.",ActiveWear,breathable-mesh-cap,https://cdn.easycommerce.dev/images/samples/breathable-mesh-cap-1.jpg,Accessories,"cap,outdoor,breathable","Color, Size",,,basic,physical,in_stock,25,19,CAPBASIC,60,10,,,1,,https://cdn.easycommerce.dev/images/samples/breathable-mesh-cap-1.jpg,28,cm,12,cm,0.1,kg,22,cm,,"https://cdn.easycommerce.dev/images/samples/breathable-mesh-cap-2.jpg, https://cdn.easycommerce.dev/images/samples/breathable-mesh-cap-3.jpg","Back View, Breathable Mesh Cap",template-1,1,,,
